Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human_Gene_Atlas	CD33+ Myeloid	18/679	4.7572852182898565e-08	3.996119583363479e-06	0	0	4.691959805544332	79.11115103487518	FCN1;PPP1R15A;KDM6B;JUN;USP15;CD83;DDX3X;AHNAK;SLC2A3;FGD2;NR4A2;KLF6;RAB11FIP1;TRA2B;FOSB;TRIM38;S100A8;IER2
Human_Gene_Atlas	CD19+ BCells(neg. sel.)	12/412	3.773299317907818e-06	0.00015847857135212838	0	0	5.155082051722657	64.37440049103903	CD79A;CD83;BANK1;TRA2B;ANKRD12;CXCR4;CD69;TRIM38;TNFRSF13C;SP140L;AFF3;FOXP1
Human_Gene_Atlas	CD4+ Tcells	11/533	0.00021774464521932902	0.0060968500661412114	0	0	3.6527254312706505	30.800465846499915	GOLGA8B;DNAJB1;PIK3IP1;ANKRD12;CXCR4;CD69;SP140L;LY9;N4BP2L2;KLF2;TNRC6B
Human_Gene_Atlas	CD8+ Tcells	10/602	0.002188273295618883	0.04595373920799654	0	0	2.9400523329315265	18.006769457656187	GOLGA8B;DNAJB1;DUSP2;PIK3IP1;ANKRD12;CXCR4;CD69;SP140L;LY9;N4BP2L2
Human_Gene_Atlas	WholeBlood	8/514	0.00877539990679059	0.14742671843408192	0	0	2.754726076925726	13.045839846410846	KDM6B;RAB11FIP1;TAGAP;KCNJ15;TRIM38;FOLR3;S100A8;PF4V1
Human_Gene_Atlas	TestisGermCell	5/314	0.032900364667431826	0.4606051053440456	0	0	2.818330421058565	9.622545338920496	GGA1;DDX3X;ABHD1;INTS6;COQ7
Human_Gene_Atlas	AdrenalCortex	2/106	0.12080557649998247	1.0	0	0	3.3394556687259978	7.058182773309666	ZNF331;NR4A2
Human_Gene_Atlas	PancreaticIslet	2/123	0.15341456028605654	1.0	0	0	2.877904885243544	5.3949535288418256	STAT3;SLC4A4
Human_Gene_Atlas	CingulateCortex	1/33	0.1706627589546523	1.0	0	0	5.3633681952266015	9.48278809130039	GNAO1
Human_Gene_Atlas	CD14+ Monocytes	4/383	0.1715502179318207	1.0	0	0	1.8484715450911529	3.2586321112953183	FCN1;AHNAK;TRIM38;FOLR3
Human_Gene_Atlas	CerebellumPeduncles	2/137	0.1813941052381484	1.0	0	0	2.583812415218655	4.410782863535767	KCNJ12;AFF3
Human_Gene_Atlas	BronchialEpithelialCells	3/280	0.21091629197136366	1.0	0	0	1.8963337547408343	2.9512527397003865	S100A6;SEMA3F;S100A10
